type,uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
skos:ConceptScheme,conceptscheme:bemonsteringsprocedure,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bemonsteringsprocedure,,,Codelijst bemonsteringsprocedure.,,,,,,,"Een workflow, protocol, plan, algoritme of berekeningswijze waarin wordt gespecifieerd hoe de bemonstering moet worden uitgevoerd.",,,,,,,,,,,,,,
skos:Concept,concept:boc,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.boc,,boc,Compendium BOC,,,,,,,"Het compendium voor de monsterneming, meting en analyse in het kader van bodembescherming, dit compendium is van toepassing voor laboratoria erkend voor de discipline bodem, deeldomein bodembescherming in het kader van het Besluit van de Vlaamse Regering over de betalingen in het kader van het GLB.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://emis.vito.be/nl/erkende-laboratoria/bodembescherming-gop/compendium-boc"
skos:Concept,concept:bam,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.bam,,bam,Compendium BAM,,,,,,,"Het compendium voor bemonsterings- en analysemethodes voor mest, bodem en veevoeder in het kader van de Vlaamse milieuwetgeving.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://emis.vito.be/nl/erkende-laboratoria/mest-bodem-en-veevoeder-vlm/compendium-bam"
skos:Concept,concept:wac,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.wac,,wac,Compendium WAC,,,,,,,"Het compendium voor de monsterneming, meting en analyse van water voor  laboratoria in het kader van de Vlaamse erkenningswetgeving VLAREL. ",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://emis.vito.be/nl/erkende-laboratoria/water-gop/compendium-wac"
skos:Concept,concept:cma,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.cma,,cma,Compendium CMA,,,,,,,"Het compendium voor de monsterneming en analyse in het kader van de Vlaamse milieuwetgeving.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://emis.vito.be/nl/erkende-laboratoria/bodem-en-afvalstoffen-ovam/compendium-cma"
skos:Concept,concept:cgpam,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.cgpam,,cgpam,Code van Goede Praktijk voor Archeologie en Metaaldetectie,,,,,,,"De Code van Goede Praktijk voor Archeologie en Metaaldetectie voor erkende archeologen en erkende metaaldetectoristen in Vlaanderen. Deze code is bedoeld voor de uitvoering van en rapportering over archeologisch vooronderzoek en archeologische opgravingen en voor het gebruik van metaaldetectoren.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://www.onroerenderfgoed.be/sites/default/files/2019-03/CGP_V4_geen_TC_20190322.pdf"
skos:Concept,concept:22475-1-2021,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.22475-1-2021,,22475-1-2021,NBN EN ISO 22475-1:2021,,,,,,,"NBN EN ISO standaard voor 'Geotechnical investigation and testing - Sampling methods and groundwater measurements - Part 1: Technical principles for the sampling of soil, rock and groundwater' versie 2021.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://app.nbn.be/data/r/platform/frontend/detail?p40_id=188163&p40_language_code=en&p40_detail_id=98267"
skos:Concept,concept:22475-1-2007,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.22475-1-2007,,22475-1-2007,NBN EN ISO 22475-1:2007,,,,,,,"NBN EN ISO standaard voor 'Geotechnisch onderzoek en beproeving - Monsternemingsmethoden en grondwatermetingen - Deel 1: Technische uitvoeringsprincipes' versie 2007.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://app.nbn.be/data/r/platform/frontend/detail?p40_id=241294&p40_language_code=nl&p40_detail_id=36579"
skos:Concept,concept:5119-1991,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.5119-1991,,5119-1991,NEN 5119:1991,,,,,,,"NEN EN ISO standaard voor 'Geotechniek - Boren en monsterneming in grond' versie 1991.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://www.nen.nl/en/nen-5119-1991-nl-7926"
skos:Concept,concept:csp-1.1,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.csp-1.1,,csp-1.1,Cmon staalnameprotocol,,,,,,,"Het staalnameprotocol voor de bodembemonstering aan de hand van een grondboring voor het bepalen van de koolstofvoorraad binnen het Vlaamse bodemkoolstofmonitoringnetwerk 'Cmon'.",,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,"https://omgeving.vlaanderen.be/sites/default/files/2023-05/protocol%20staalname%20Cmon%201.1%20-%20werkdocument.pdf"
skos:Concept,concept:cam2019,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsprocedure.cam2019,,cam2019,Code van Goede Praktijk voor Archeologie en Metaaldetectie,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://www.onroerenderfgoed.be/sites/default/files/2019-03/CGP_V4_geen_TC_20190322.pdf
